,Id,Open Date,City,City Group,Type,revenue,f0,f1,f2,f3,f4,pstd
0,0,07/17/1999,İstanbul,Big Cities,IL,5653753.0,3.4285714285714284,4.833333333333333,4,2.3333333333333335,3,0.9542244063568442
1,1,02/14/2008,Ankara,Big Cities,FC,6923131.0,3.5714285714285716,5.0,2,0.0,0,1.5005667863417838
2,2,03/09/2013,Diyarbakır,Other,IL,2055379.0,2.857142857142857,5.0,1,0.0,0,2.0016999578079706
3,3,02/02/2012,Tokat,Other,IL,2675511.0,5.214285714285714,9.25,14,3.7777777777777777,13,4.545712778115629
4,4,05/09/2009,Gaziantep,Other,IL,4316715.0,2.857142857142857,5.0,1,2.4444444444444446,3,1.434529023679298
5,5,02/12/2010,Ankara,Big Cities,FC,5017319.0,6.642857142857143,8.0,5,0.0,0,1.5022658623187954
6,6,10/11/2010,İstanbul,Big Cities,IL,5166635.0,3.142857142857143,5.0,2,3.7777777777777777,3,1.1053934520339102
7,7,06/21/2011,İstanbul,Big Cities,IL,4491607.0,3.7142857142857144,4.0,3,0.0,0,0.5150787536377128
8,8,08/28/2010,Afyonkarahisar,Other,IL,4952497.0,2.4285714285714284,4.333333333333333,1,2.7777777777777777,4,1.3333522296469003
9,9,11/16/2011,Edirne,Other,IL,5444227.0,5.071428571428571,9.583333333333334,12,0.0,0,3.5166903095356803
10,10,08/09/2013,Kocaeli,Other,FC,3745135.0,6.214285714285714,9.25,20,0.0,0,7.243663663182196
11,11,05/22/2012,İstanbul,Big Cities,IL,5161370.0,3.5714285714285716,5.0,3,2.7777777777777777,4,0.8849402090510786
12,12,02/28/2013,Ankara,Big Cities,IL,1734634.0,2.4285714285714284,4.833333333333333,3,0.0,0,1.2563519638189324
13,13,10/16/2010,İstanbul,Big Cities,FC,4807746.0,3.7142857142857144,5.0,2,0.0,0,1.505093393264677
14,14,12/29/2011,Bursa,Other,FC,1999097.0,2.7142857142857144,5.0,2,0.0,0,1.567093587800412
15,15,02/07/2012,İstanbul,Big Cities,IL,3218918.0,8.071428571428571,9.583333333333334,8,5.611111111111111,12,2.349768674654812
16,16,01/07/2000,İstanbul,Big Cities,FC,19696939.0,3.5714285714285716,4.5,2,0.0,0,1.2637004294967236
17,17,11/08/2009,İstanbul,Big Cities,FC,8213524.0,2.857142857142857,4.833333333333333,1,0.0,0,1.9169747361605607
18,18,04/21/2012,İzmir,Big Cities,IL,5337526.0,3.2857142857142856,5.0,3,3.0,3,0.8713114675415371
19,19,08/16/2011,Sakarya,Other,IL,2021934.0,3.0,4.166666666666667,1,0.0,0,1.601503922822175
20,20,08/25/2010,Elazığ,Other,IL,5525735.0,3.0,4.833333333333333,5,3.3333333333333335,3,1.0000000000000018
21,21,01/25/2014,İstanbul,Big Cities,FC,1149870.0,3.4285714285714284,4.0,3,0.0,0,0.501697797754892
22,22,07/01/2006,Kayseri,Other,FC,3956086.0,6.857142857142857,9.583333333333334,12,0.0,0,2.5729804987629343
23,23,06/03/2009,Sakarya,Other,FC,2999068.0,3.0,4.0,1,0.0,0,1.5275252316519468
24,24,09/20/2009,İstanbul,Big Cities,IL,8904084.0,3.5714285714285716,4.666666666666667,4,3.3333333333333335,4,0.5088780955197162
25,25,12/23/2011,Eskişehir,Other,FC,3778621.0,3.5714285714285716,5.0,1,0.0,0,2.027028252742168
26,26,02/23/2010,Ankara,Big Cities,IL,2267425.0,3.7142857142857144,4.333333333333333,4,2.111111111111111,4,0.8778653189792656
27,27,10/09/1999,Bursa,Other,FC,5435276.0,3.5714285714285716,4.5,5,0.0,0,0.7249208260780141
28,28,01/28/1998,İstanbul,Big Cities,IL,4705945.0,3.7142857142857144,4.333333333333333,4,3.2222222222222223,4,0.4156487945164398
29,29,10/13/2006,Ankara,Big Cities,FC,3447890.0,2.142857142857143,3.1666666666666665,1,0.0,0,1.0838782860994367
30,30,12/01/2008,Sakarya,Other,IL,3008199.0,1.8571428571428572,4.333333333333333,1,0.0,0,1.7309594768527732
31,31,12/31/2012,İstanbul,Big Cities,IL,2058644.0,3.5714285714285716,5.0,2,2.7777777777777777,3,1.1193571563342215
32,32,01/17/2009,Şanlıurfa,Other,FC,3261924.0,2.857142857142857,4.166666666666667,2,0.0,0,1.091176042144836
33,33,04/23/2013,Samsun,Other,FC,2371202.0,2.857142857142857,5.0,1,0.0,0,2.0016999578079706
34,34,03/21/2012,İstanbul,Big Cities,FC,4100886.0,3.857142857142857,4.5,2,0.0,0,1.2982196076395784
35,35,05/08/1996,Adana,Other,IL,3903884.0,3.2857142857142856,4.5,5,2.7777777777777777,3,0.979964314630438
36,36,05/09/2008,Ankara,Big Cities,FC,3028267.0,3.857142857142857,5.0,3,0.0,0,1.003395595509784
37,37,08/23/2010,Ankara,Big Cities,IL,2740687.0,3.0,5.0,3,1.2222222222222223,4,1.4019386929411124
38,38,01/18/2011,İstanbul,Big Cities,FC,5461700.0,3.5714285714285716,4.5,2,0.0,0,1.2637004294967236
39,39,03/28/2009,İstanbul,Big Cities,IL,3818055.0,3.4285714285714284,4.166666666666667,3,2.7777777777777777,2,0.8009898763785797
40,40,02/09/2011,İstanbul,Big Cities,IL,6836483.0,3.2857142857142856,3.3333333333333335,3,3.5555555555555554,3,0.23740641099357962
41,41,06/01/2009,İstanbul,Big Cities,IL,4554237.0,4.142857142857143,4.166666666666667,5,3.3333333333333335,4,0.5937123302288435
42,42,09/27/2011,İstanbul,Big Cities,IL,4952255.0,6.857142857142857,9.25,20,0.0,0,7.000273318279237
43,43,09/24/2009,Ankara,Big Cities,FC,2732645.0,3.0,5.0,1,0.0,0,2.0
44,44,10/13/2004,Ankara,Big Cities,IL,4264176.0,3.2857142857142856,5.0,1,1.4444444444444444,3,1.5952183525588715
45,45,02/02/2012,Antalya,Other,FC,3752885.0,6.142857142857143,9.0,8,0.0,0,1.4498416521560331
46,46,08/25/2011,İzmir,Big Cities,IL,4250758.0,3.4285714285714284,5.0,3,2.0,3,1.092647038627023
47,47,12/23/2009,İzmir,Big Cities,IL,7865428.0,3.857142857142857,4.833333333333333,4,3.5555555555555554,3,0.6705762160837665
48,48,12/21/2011,Kayseri,Other,FC,7201784.0,3.7142857142857144,4.5,5,0.0,0,0.6481265518483881
49,49,04/01/2008,İstanbul,Big Cities,FC,8630682.0,7.785714285714286,9.583333333333334,7,0.0,0,1.3242854859790996
50,50,05/01/2010,Ankara,Big Cities,IL,2156098.0,3.857142857142857,4.166666666666667,4,1.6666666666666667,2,1.2018975926131366
51,51,11/08/2011,Kastamonu,Other,IL,3273041.0,2.5714285714285716,4.666666666666667,3,0.0,0,1.1069081505784855
52,52,11/12/2013,Uşak,Other,FC,1763231.0,2.5714285714285716,3.8333333333333335,1,0.0,0,1.4194816636715046
53,53,03/29/2013,Samsun,Other,FC,5595267.0,3.142857142857143,5.0,2,0.0,0,1.5141060091032998
54,54,06/05/1999,Muğla,Other,IL,4651866.0,3.0,3.3333333333333335,1,0.0,0,1.2619796324000612
55,55,08/12/2008,İstanbul,Big Cities,FC,6941173.0,3.4285714285714284,5.0,1,0.0,0,2.015247997095126
56,56,03/16/2013,İstanbul,Big Cities,IL,2390534.0,3.5714285714285716,4.0,3,0.0,0,0.501697797754892
57,57,06/21/2008,Antalya,Other,FC,3258837.0,3.0,5.0,1,0.0,0,2.0
58,58,04/11/2012,İstanbul,Big Cities,FC,3004429.0,3.2857142857142856,5.0,1,0.0,0,2.00679119101957
59,59,12/01/2007,İstanbul,Big Cities,FC,3600467.0,3.5714285714285716,5.0,2,0.0,0,1.5005667863417838
60,60,05/01/2012,Ankara,Big Cities,IL,3164972.0,7.142857142857143,9.25,11,3.8333333333333335,13,3.538579086316058
61,61,05/30/2008,İstanbul,Big Cities,FC,4350573.0,7.142857142857143,8.0,10,0.0,0,1.4661718398419699
62,62,11/15/2010,Sakarya,Other,FC,5286212.0,3.142857142857143,4.666666666666667,1,2.4444444444444446,2,1.3690418679428318
63,63,08/05/2013,Kırklareli,Other,FC,1619683.0,2.4285714285714284,4.833333333333333,1,0.0,0,1.9372721624993376
64,64,07/13/1998,İstanbul,Big Cities,IL,2551252.0,7.428571428571429,9.583333333333334,8,9.722222222222221,18,4.282753974659039
65,65,12/21/2013,İzmir,Big Cities,FC,1756069.0,3.0,5.0,1,0.0,0,2.0
66,66,01/09/2010,Konya,Other,FC,1882131.0,2.4285714285714284,4.166666666666667,3,0.0,0,0.8858721484169664
67,67,03/01/2011,İstanbul,Big Cities,FC,4052733.0,4.0,4.0,4,0.0,0,0.0
68,68,03/16/2010,İstanbul,Big Cities,IL,3836721.0,3.0,4.666666666666667,1,3.4444444444444446,4,1.3899995559107543
69,69,08/30/2011,Konya,Other,IL,3452382.0,2.857142857142857,5.0,1,0.0,0,2.0016999578079706
70,70,11/27/2006,İstanbul,Big Cities,FC,3982767.0,3.857142857142857,5.0,3,0.0,0,1.003395595509784
71,71,12/06/2006,İstanbul,Big Cities,IL,4136425.0,8.428571428571429,9.583333333333334,8,7.555555555555555,10,1.0419685881420486
72,72,08/05/2009,İzmir,Big Cities,IL,2525375.0,3.4285714285714284,4.333333333333333,4,2.6666666666666665,3,0.6879263262773774
73,73,10/04/2011,Ankara,Big Cities,FC,3347767.0,3.5714285714285716,4.333333333333333,5,0.0,0,0.714814618996677
74,74,12/01/2011,İstanbul,Big Cities,IL,5500818.0,7.785714285714286,8.0,20,7.722222222222222,12,5.292066229610512
75,75,10/15/2005,İstanbul,Big Cities,FC,16549064.0,4.0,3.8333333333333335,4,0.0,0,0.09622504486492053
76,76,11/25/2008,İstanbul,Big Cities,FC,4590423.0,2.7142857142857144,5.0,2,0.0,0,1.567093587800412
77,77,10/25/2013,Ankara,Big Cities,FC,1904842.0,3.5714285714285716,4.166666666666667,3,0.0,0,0.5833738243154616
78,78,09/29/2012,Ankara,Big Cities,IL,3871344.0,6.571428571428571,8.0,15,3.2777777777777777,14,4.998946727056066
79,79,01/25/2010,Adana,Other,IL,6313221.0,3.4285714285714284,5.0,3,2.5555555555555554,4,0.9487098558181949
80,80,10/16/2009,İstanbul,Big Cities,FC,3727364.0,3.857142857142857,5.0,3,0.0,0,1.003395595509784
81,81,12/16/2005,İstanbul,Big Cities,FC,4066618.0,3.142857142857143,4.833333333333333,2,0.0,0,1.4254595736886773
82,82,02/23/2010,Karabük,Other,FC,3807496.0,2.4285714285714284,4.833333333333333,3,0.0,0,1.2563519638189324
83,83,08/12/1998,İstanbul,Big Cities,IL,5966193.0,3.4285714285714284,4.5,2,3.888888888888889,4,0.9534385662019822
84,84,10/09/2009,İzmir,Big Cities,IL,4250553.0,3.4285714285714284,5.0,2,2.4444444444444446,3,1.1554094622458375
85,85,01/07/2000,İstanbul,Big Cities,FC,7495092.0,3.7142857142857144,4.5,2,0.0,0,1.278418453205599
86,86,07/26/2011,Bursa,Other,FC,3351383.0,3.0,4.833333333333333,3,0.0,0,1.0584754935143155
87,87,02/11/2008,İstanbul,Big Cities,FC,5906596.0,4.0,4.333333333333333,4,0.0,0,0.19245008972987798
88,88,07/10/2013,Antalya,Other,FC,2025297.0,2.4285714285714284,4.166666666666667,1,0.0,0,1.585852513161178
89,89,05/11/2009,İstanbul,Big Cities,IL,2364478.0,2.142857142857143,4.333333333333333,1,1.8888888888888888,3,1.2608011546331612
90,90,08/08/2013,İstanbul,Big Cities,FC,3426169.0,7.428571428571429,8.333333333333334,9,0.0,0,0.788714809447924
91,91,06/20/2007,Bursa,Other,IL,2083447.0,3.142857142857143,5.0,2,0.0,0,1.5141060091032998
92,92,11/01/2002,İstanbul,Big Cities,FC,6782425.0,8.642857142857142,8.583333333333334,21,0.0,0,7.151644726760971
93,93,10/14/2012,Tekirdağ,Other,IL,3410878.0,3.0,4.5,3,2.7777777777777777,3,0.7022890263582436
94,94,08/08/2011,Samsun,Other,FC,3753720.0,2.7142857142857144,5.0,2,3.111111111111111,3,1.1132971692453162
95,95,06/08/2012,Samsun,Other,FC,1270499.0,2.857142857142857,5.0,1,0.0,0,2.0016999578079706
96,96,11/27/2011,Diyarbakır,Other,FC,6412623.0,3.0,4.166666666666667,2,0.0,0,1.084401183107951
97,97,01/26/2009,İstanbul,Big Cities,FC,6694797.0,3.7142857142857144,4.5,4,0.0,0,0.39769745448785815
98,98,03/11/2011,Denizli,Other,FC,2344689.0,3.142857142857143,4.166666666666667,3,0.0,0,0.6363575011238436
99,99,12/18/1999,İstanbul,Big Cities,IL,13575224.0,3.857142857142857,4.0,3,4.0,4,0.4356557337707665
100,100,09/21/2007,İstanbul,Big Cities,FC,9652350.0,4.0,5.0,3,0.0,0,1.0
101,101,09/09/2012,Balıkesir,Other,IL,4758476.0,3.2857142857142856,4.833333333333333,5,2.888888888888889,4,0.9272545267724552
102,102,09/11/2004,Diyarbakır,Other,FC,2738052.0,3.142857142857143,4.166666666666667,3,0.0,0,0.6363575011238436
103,103,12/06/2011,Tekirdağ,Other,FC,4429512.0,2.857142857142857,5.0,2,0.0,0,1.5452362609131374
104,104,01/22/2007,Adana,Other,IL,4467728.0,3.4285714285714284,5.0,3,2.0,3,1.092647038627023
105,105,03/15/2008,Aydın,Other,FC,2792031.0,2.2857142857142856,4.333333333333333,1,0.0,0,1.6811164990254364
106,106,06/15/2008,Antalya,Other,FC,4888774.0,4.285714285714286,7.916666666666667,4,0.0,0,2.1834882498570476
107,107,05/01/2011,Samsun,Other,IL,3248660.0,3.142857142857143,4.833333333333333,5,2.888888888888889,4,0.9565648838009547
108,108,07/09/2012,Muğla,Other,FC,3570392.0,2.7142857142857144,3.5,1,0.0,0,1.2784184532055998
109,109,08/25/2007,Ankara,Big Cities,FC,4219263.0,3.4285714285714284,4.166666666666667,1,0.0,0,1.656830384697949
110,110,09/26/2012,Amasya,Other,IL,2954086.0,5.357142857142857,9.25,10,4.555555555555555,12,3.167846977390046
111,111,08/10/2012,Kütahya,Other,FC,2993069.0,2.7142857142857144,5.0,1,0.0,0,2.0067911910195693
112,112,03/14/1998,İstanbul,Big Cities,IL,3784230.0,4.142857142857143,4.333333333333333,2,3.111111111111111,2,1.12107774874006
113,113,12/09/2006,Tekirdağ,Other,FC,2097022.0,3.0,5.0,2,0.0,0,1.5275252316519463
114,114,12/06/2008,Eskişehir,Other,IL,4155435.0,3.5714285714285716,4.833333333333333,5,2.4444444444444446,3,1.1217180789876042
115,115,05/04/2012,İstanbul,Big Cities,IL,4882985.0,6.142857142857143,9.583333333333334,6,7.388888888888889,16,4.15621743428422
116,116,03/30/2012,İzmir,Big Cities,FC,8894598.0,3.142857142857143,4.5,1,0.0,0,1.7646375203512175
117,117,12/27/2005,Ankara,Big Cities,IL,2018785.0,3.4285714285714284,4.166666666666667,4,1.3333333333333333,3,1.134693061876736
118,118,12/25/2009,İstanbul,Big Cities,IL,1847826.0,8.071428571428571,9.583333333333334,10,4.277777777777778,11,2.629022012028983
119,119,01/03/2014,İstanbul,Big Cities,IL,3780019.0,3.5714285714285716,5.0,1,0.0,0,2.027028252742168
120,120,08/18/2011,Aydın,Other,FC,4067566.0,2.857142857142857,4.833333333333333,4,0.0,0,0.9921269820953675
121,121,11/13/2004,İzmir,Big Cities,FC,3445076.0,3.142857142857143,4.666666666666667,1,0.0,0,1.8420222874145202
122,122,04/10/1997,İstanbul,Big Cities,IL,4286645.0,8.0,7.666666666666667,18,8.0,15,4.836206042848966
123,123,11/05/2011,Bolu,Other,FC,4263629.0,2.142857142857143,4.166666666666667,1,0.0,0,1.6036263704190108
124,124,08/18/2005,Ankara,Big Cities,DT,3810007.0,2.7142857142857144,4.333333333333333,1,0.0,0,1.666893408612708
125,125,09/01/2010,Trabzon,Other,IL,4780607.0,6.5,8.25,18,5.333333333333333,15,5.572003429846595
126,126,07/20/2008,Isparta,Other,IL,4015749.0,3.0,4.833333333333333,4,2.7777777777777777,4,0.8370288429621888
127,127,09/07/2007,Bursa,Other,FC,7592272.0,3.2857142857142856,5.0,2,0.0,0,1.5050933932646782
128,128,10/14/2011,Ankara,Big Cities,FC,2383840.0,3.0,5.0,1,0.0,0,2.0
129,129,02/08/2007,Eskişehir,Other,FC,3939804.0,3.5714285714285716,4.833333333333333,5,0.0,0,0.7811314157923188
130,130,10/29/2011,Osmaniye,Other,FC,3376145.0,2.857142857142857,5.0,1,0.0,0,2.0016999578079706
131,131,11/06/2002,Ankara,Big Cities,FC,3199619.0,3.5714285714285716,4.166666666666667,3,0.0,0,0.5833738243154616
132,132,06/25/2008,Trabzon,Other,FC,5787594.0,2.857142857142857,4.0,2,0.0,0,1.003395595509783
133,133,10/12/2006,İzmir,Big Cities,FC,9262754.0,3.7142857142857144,4.5,2,0.0,0,1.278418453205599
134,134,07/08/2006,Kayseri,Other,FC,2544857.0,3.2857142857142856,5.0,2,0.0,0,1.5050933932646782
135,135,10/29/2010,İstanbul,Big Cities,FC,7217634.0,3.7142857142857144,5.0,1,0.0,0,2.0420744421325296
136,136,09/01/2009,İstanbul,Big Cities,FC,6363241.0,3.5714285714285716,4.5,1,0.0,0,1.813122986999612
