,Id,Open Date,City,City Group,Type,revenue,pca0,pca1,pca2
0,0,07/17/1999,İstanbul,Big Cities,IL,5653753.0,3.459679404525745,-3.8455045077245,1.3540290637600347
1,1,02/14/2008,Ankara,Big Cities,FC,6923131.0,-8.26381480608903,0.5303569551210018,-1.0555711377525394
2,2,03/09/2013,Diyarbakır,Other,IL,2055379.0,-9.614929749068605,-1.9426535544640877,-1.4753261244400422
3,3,02/02/2012,Tokat,Other,IL,2675511.0,38.80930545826558,2.0710674330968337,2.669117433494702
4,4,05/09/2009,Gaziantep,Other,IL,4316715.0,0.4343900054869518,-6.829238049232574,-0.22988490258072222
5,5,02/12/2010,Ankara,Big Cities,FC,5017319.0,-2.000526575762399,10.21406161993704,-6.345792818434435
6,6,10/11/2010,İstanbul,Big Cities,IL,5166635.0,3.5738352836786684,-8.298238261172724,-0.33225718612727406
7,7,06/21/2011,İstanbul,Big Cities,IL,4491607.0,-7.7328204662203675,1.3576235615026342,1.1619957146225612
8,8,08/28/2010,Afyonkarahisar,Other,IL,4952497.0,1.4883592503218583,-10.42291592499017,0.40434872463544724
9,9,11/16/2011,Edirne,Other,IL,5444227.0,2.598658837558271,21.111530883319446,-1.8940041008282336
10,10,08/09/2013,Kocaeli,Other,FC,3745135.0,9.29685733187779,31.78712431794225,5.7054560647715284
11,11,05/22/2012,İstanbul,Big Cities,IL,5161370.0,4.3519755934437026,-6.38594483572175,-0.18602434735279766
12,12,02/28/2013,Ankara,Big Cities,IL,1734634.0,-8.570219607131312,0.05218994981048807,0.6303535405898778
13,13,10/16/2010,İstanbul,Big Cities,FC,4807746.0,-7.9399751265845415,0.8295789956897881,-1.6534424170340254
14,14,12/29/2011,Bursa,Other,FC,1999097.0,-8.561120202866503,0.024713377407156633,-0.09582267397424954
15,15,02/07/2012,İstanbul,Big Cities,IL,3218918.0,34.41552545741085,-4.006300060765482,-11.879464093059497
17,17,11/08/2009,İstanbul,Big Cities,FC,8213524.0,-9.682887572334174,-1.9957469866226498,-0.4822877897633216
18,18,04/21/2012,İzmir,Big Cities,IL,5337526.0,3.9345284885195873,-5.265154599500949,0.28919451808729074
19,19,08/16/2011,Sakarya,Other,IL,2021934.0,-9.765622575763262,-1.9034474411661573,-0.10965352467285093
20,20,08/25/2010,Elazığ,Other,IL,5525735.0,4.986653945382583,-4.247110389450786,3.205104336221036
21,21,01/25/2014,İstanbul,Big Cities,FC,1149870.0,-7.849671402807911,1.338332221939216,1.0602355097312937
22,22,07/01/2006,Kayseri,Other,FC,3956086.0,3.04499609436801,19.515488572390186,-5.961136705639502
23,23,06/03/2009,Sakarya,Other,FC,2999068.0,-9.376342691161199,-1.280425330603038,0.9188023603207454
24,24,09/20/2009,İstanbul,Big Cities,IL,8904084.0,6.1900477915269985,-4.848418004549503,1.9220773225871592
25,25,12/23/2011,Eskişehir,Other,FC,3778621.0,-8.594528874766713,-0.020462783016761268,-1.4021661599210624
26,26,02/23/2010,Ankara,Big Cities,IL,2267425.0,3.916601537206892,-3.7920586856977825,2.381129755361486
27,27,10/09/1999,Bursa,Other,FC,5435276.0,-6.137381795721807,4.316570586480616,2.8780224207083576
28,28,01/28/1998,İstanbul,Big Cities,IL,4705945.0,5.3689947134057,-4.7497800448024545,1.956030851637269
29,29,10/13/2006,Ankara,Big Cities,FC,3447890.0,-10.85682665741688,-3.597050166389107,2.658173134769623
30,30,12/01/2008,Sakarya,Other,IL,3008199.0,-10.59310679551392,-3.3190467482048125,0.49885760954185615
31,31,12/31/2012,İstanbul,Big Cities,IL,2058644.0,2.0107109668430896,-5.588675390337931,-0.4579129779662519
32,32,01/17/2009,Şanlıurfa,Other,FC,3261924.0,-8.853482271970247,0.015188151903270181,0.5673900571333086
33,33,04/23/2013,Samsun,Other,FC,2371202.0,-9.162739624695275,-0.8829456849810399,-0.958786287454659
34,34,03/21/2012,İstanbul,Big Cities,FC,4100886.0,-8.451248044996486,-0.18835330665055658,-0.8148071876323092
35,35,05/08/1996,Adana,Other,IL,3903884.0,3.6407380634363427,-2.1981214833506617,4.105712387715793
36,36,05/09/2008,Ankara,Big Cities,FC,3028267.0,-7.4020710182000595,1.4906099730040197,-0.934242268063556
37,37,08/23/2010,Ankara,Big Cities,IL,2740687.0,1.7548898151988894,-5.643906185235124,0.44314791812869037
38,38,01/18/2011,İstanbul,Big Cities,FC,5461700.0,-8.700816566545068,-0.6814577823702846,-1.2945194506378386
39,39,03/28/2009,İstanbul,Big Cities,IL,3818055.0,1.5558937437049292,-4.654066707250947,2.393981279998886
40,40,02/09/2011,İstanbul,Big Cities,IL,6836483.0,4.395911376729278,-5.737295317536309,5.191844970066219
41,41,06/01/2009,İstanbul,Big Cities,IL,4554237.0,7.032023634946505,-3.089119200860162,4.908711409892719
42,42,09/27/2011,İstanbul,Big Cities,IL,4952255.0,8.763161705362288,30.840677145549343,2.522050919272934
43,43,09/24/2009,Ankara,Big Cities,FC,2732645.0,-9.619097560035929,-1.9579066184230292,-1.1985957961908156
44,44,10/13/2004,Ankara,Big Cities,IL,4264176.0,0.45284820983785296,-6.881819204407663,-1.8114146503033908
45,45,02/02/2012,Antalya,Other,FC,3752885.0,-0.6311552847446852,11.56877223455815,-8.485775418813008
46,46,08/25/2011,İzmir,Big Cities,IL,4250758.0,2.423602395650228,-5.404688692664009,0.46811499475194573
47,47,12/23/2009,İzmir,Big Cities,IL,7865428.0,4.680585396556074,-3.6565202890624353,3.0916366713312775
48,48,12/21/2011,Kayseri,Other,FC,7201784.0,-6.3027462380928405,4.111810700701183,2.284955878206359
49,49,04/01/2008,İstanbul,Big Cities,FC,8630682.0,1.0680228939271386,16.266821502426282,-9.411468409184756
50,50,05/01/2010,Ankara,Big Cities,IL,2156098.0,0.3837664570992885,-1.8979200331785109,1.6653770919459214
51,51,11/08/2011,Kastamonu,Other,IL,3273041.0,-7.949277575634677,1.2964667188260617,1.1194736049574332
52,52,11/12/2013,Uşak,Other,FC,1763231.0,-10.434524899180433,-3.0160852402514196,1.0056498772100557
53,53,03/29/2013,Samsun,Other,FC,5595267.0,-8.451951075706141,-0.08117909137845049,-1.0583839987892758
54,54,06/05/1999,Muğla,Other,IL,4651866.0,-10.028606613938008,-2.4032326442972414,1.8211058470968489
55,55,08/12/2008,İstanbul,Big Cities,FC,6941173.0,-9.363238670573695,-1.6220608191702652,-2.036073089364732
56,56,03/16/2013,İstanbul,Big Cities,IL,2390534.0,-7.531743861553822,1.8483457224389637,1.3818800428461924
57,57,06/21/2008,Antalya,Other,FC,3258837.0,-9.255552492714331,-1.4636230491509756,-1.3991218136146997
58,58,04/11/2012,İstanbul,Big Cities,FC,3004429.0,-8.943530459488438,-0.932927188553146,-1.379094248365523
59,59,12/01/2007,İstanbul,Big Cities,FC,3600467.0,-8.2133315863818,0.4224721080540973,-1.557843023075735
60,60,05/01/2012,Ankara,Big Cities,IL,3164972.0,37.34175787615154,-0.7390249023198596,-5.657319834387625
61,61,05/30/2008,İstanbul,Big Cities,FC,4350573.0,1.8952454568226909,17.597339291049813,-5.322495585006306
62,62,11/15/2010,Sakarya,Other,FC,5286212.0,-1.411067477938261,-5.536475391507051,-0.376692786008949
63,63,08/05/2013,Kırklareli,Other,FC,1619683.0,-9.702541941445492,-1.803856386235745,-0.45586746672407435
64,64,07/13/1998,İstanbul,Big Cities,IL,2551252.0,53.64026766942101,-14.726071447404447,-6.0497353947503045
65,65,12/21/2013,İzmir,Big Cities,FC,1756069.0,-9.590140164086097,-1.9306520787426504,-1.630437167040985
66,66,01/09/2010,Konya,Other,FC,1882131.0,-8.94271824418872,-0.2762906519060852,1.5846971278447306
67,67,03/01/2011,İstanbul,Big Cities,FC,4052733.0,-6.747023564858947,3.2950636518267076,1.9385209212911603
68,68,03/16/2010,İstanbul,Big Cities,IL,3836721.0,3.0611532386764093,-9.30416658724416,-0.26650112694829287
69,69,08/30/2011,Konya,Other,IL,3452382.0,-9.130459664338495,-0.7750095161885984,-1.0167932538695477
70,70,11/27/2006,İstanbul,Big Cities,FC,3982767.0,-7.4040772249071205,1.6424989816697526,-1.3155646613964778
71,71,12/06/2006,İstanbul,Big Cities,IL,4136425.0,33.747743427629466,-3.055884996773279,-9.398429476104301
72,72,08/05/2009,İzmir,Big Cities,IL,2525375.0,3.791080539076516,-2.6078547631037305,4.735894421232284
73,73,10/04/2011,Ankara,Big Cities,FC,3347767.0,-6.1246424240660176,4.538729180724502,4.049631492811886
74,74,12/01/2011,İstanbul,Big Cities,IL,5500818.0,46.33501769057798,9.126169418629742,10.4507358937268
76,76,11/25/2008,İstanbul,Big Cities,FC,4590423.0,-8.568446432405702,-0.0777904363825659,-0.631153607093066
77,77,10/25/2013,Ankara,Big Cities,FC,1904842.0,-7.472945585267,2.0025612320113844,0.6371138842674479
78,78,09/29/2012,Ankara,Big Cities,IL,3871344.0,40.9212097106877,5.446484866852631,1.3407763374219372
79,79,01/25/2010,Adana,Other,IL,6313221.0,3.9435441260590736,-5.572537087794286,0.5317838335200441
80,80,10/16/2009,İstanbul,Big Cities,FC,3727364.0,-7.057466213296695,2.4318694805799064,0.10682831035767652
81,81,12/16/2005,İstanbul,Big Cities,FC,4066618.0,-8.555417184550313,-0.2729264402992136,-0.5675040778708382
82,82,02/23/2010,Karabük,Other,FC,3807496.0,-7.780553112399507,1.6239104755005724,1.465202350614473
83,83,08/12/1998,İstanbul,Big Cities,IL,5966193.0,6.0990048997915505,-9.186897986979124,0.6191321522824446
84,84,10/09/2009,İzmir,Big Cities,IL,4250553.0,2.2417209808230014,-6.246598252582768,-0.029359744358025953
85,85,01/07/2000,İstanbul,Big Cities,FC,7495092.0,-8.641246006916841,-0.6245087979676515,-1.5921892605108714
86,86,07/26/2011,Bursa,Other,FC,3351383.0,-7.958526056992858,0.9232280836125498,0.08413990989941426
87,87,02/11/2008,İstanbul,Big Cities,FC,5906596.0,-6.831715592042579,3.0193696527951097,0.4937911371888253
88,88,07/10/2013,Antalya,Other,FC,2025297.0,-10.412758946031735,-3.064039123605826,0.7515960928803135
89,89,05/11/2009,İstanbul,Big Cities,IL,2364478.0,-1.6692608763144257,-8.058899027978448,0.8812814372144364
90,90,08/08/2013,İstanbul,Big Cities,FC,3426169.0,1.3927882007438774,16.575553883012617,-7.439821889683875
91,91,06/20/2007,Bursa,Other,IL,2083447.0,-8.632244462476221,-0.0796153456781463,-0.8197262918715411
92,92,11/01/2002,İstanbul,Big Cities,FC,6782425.0,10.541755041391687,33.64470067404696,3.473062869804785
93,93,10/14/2012,Tekirdağ,Other,IL,3410878.0,2.797433914637045,-6.15242565687618,2.0639011052696588
94,94,08/08/2011,Samsun,Other,FC,3753720.0,1.9891261850194222,-7.764913970495188,0.14627083580803618
95,95,06/08/2012,Samsun,Other,FC,1270499.0,-9.659777825386453,-1.985807799320576,-1.2536091216398684
96,96,11/27/2011,Diyarbakır,Other,FC,6412623.0,-8.553289035988028,0.3078159092425712,1.2689392110183941
97,97,01/26/2009,İstanbul,Big Cities,FC,6694797.0,-6.5899222351470925,3.476878178446523,2.0547592812030784
98,98,03/11/2011,Denizli,Other,FC,2344689.0,-8.32505137162157,0.3441799943063256,1.133818692552706
100,100,09/21/2007,İstanbul,Big Cities,FC,9652350.0,-7.235385882395278,1.9860638795444308,-1.728511045608003
101,101,09/09/2012,Balıkesir,Other,IL,4758476.0,6.9848712490615394,-4.000363456771148,4.11895712489837
102,102,09/11/2004,Diyarbakır,Other,FC,2738052.0,-7.918176391789589,1.3204512587039139,1.1649242331287446
103,103,12/06/2011,Tekirdağ,Other,FC,4429512.0,-8.98406828883588,-0.8248450962392958,-0.659156155755813
104,104,01/22/2007,Adana,Other,IL,4467728.0,2.9283974550246077,-4.638967060489746,0.44369289787270927
105,105,03/15/2008,Aydın,Other,FC,2792031.0,-10.507788118465998,-3.25727875754178,0.1660072261793285
106,106,06/15/2008,Antalya,Other,FC,4888774.0,-4.955127843502696,5.836466272888281,-4.199856804204821
107,107,05/01/2011,Samsun,Other,IL,3248660.0,6.420521220109672,-3.904649427125469,3.6643184950010643
108,108,07/09/2012,Muğla,Other,FC,3570392.0,-10.591849818489502,-3.3116449662818876,0.921786770375536
109,109,08/25/2007,Ankara,Big Cities,FC,4219263.0,-9.178601751434284,-1.1833758140439443,-0.26815442484323426
110,110,09/26/2012,Amasya,Other,IL,2954086.0,35.445934694457016,-2.946970566113684,-0.9137840559711636
111,111,08/10/2012,Kütahya,Other,FC,2993069.0,-9.776917001963218,-2.102006930577975,-1.077160074965633
112,112,03/14/1998,İstanbul,Big Cities,IL,3784230.0,-0.10459492128073411,-5.365358766092261,-0.3834400105343351
113,113,12/09/2006,Tekirdağ,Other,FC,2097022.0,-8.838963611410662,-0.6111861776053078,-0.8928540892985759
114,114,12/06/2008,Eskişehir,Other,IL,4155435.0,4.079151038935407,-1.6629419301633728,3.8651234786020945
115,115,05/04/2012,İstanbul,Big Cities,IL,4882985.0,45.12516876914991,-16.112370672419168,-7.196520869934565
116,116,03/30/2012,İzmir,Big Cities,FC,8894598.0,-9.196017504981654,-1.0368883654377223,-0.0985233338889838
117,117,12/27/2005,Ankara,Big Cities,IL,2018785.0,1.1436495920415786,-2.3441048926877373,2.797418756709805
118,118,12/25/2009,İstanbul,Big Cities,IL,1847826.0,35.27548108661284,-0.5446276211978269,-6.055191890847622
119,119,01/03/2014,İstanbul,Big Cities,IL,3780019.0,-8.650421678025946,-0.36848639196587496,-1.9472821344924283
120,120,08/18/2011,Aydın,Other,FC,4067566.0,-7.523183271127609,2.0376683628775805,1.1422230601918286
121,121,11/13/2004,İzmir,Big Cities,FC,3445076.0,-9.157342950913423,-1.0930590487497052,-1.068868525017551
122,122,04/10/1997,İstanbul,Big Cities,IL,4286645.0,53.76517104395257,4.746621108686861,7.021684006888367
123,123,11/05/2011,Bolu,Other,FC,4263629.0,-10.484952635559425,-3.135700838166621,0.9215894551137777
124,124,08/18/2005,Ankara,Big Cities,DT,3810007.0,-9.492614711932896,-1.6461322103227114,-0.3011407151815197
125,125,09/01/2010,Trabzon,Other,IL,4780607.0,48.211585797406286,4.155889189842131,8.44748509264648
126,126,07/20/2008,Isparta,Other,IL,4015749.0,4.824027981467197,-4.311636787697488,2.6758088861346363
127,127,09/07/2007,Bursa,Other,FC,7592272.0,-8.666516376119562,-0.13701734409598051,-1.2955367486645033
128,128,10/14/2011,Ankara,Big Cities,FC,2383840.0,-9.610491507740948,-1.86083404690783,-1.1582302091949532
129,129,02/08/2007,Eskişehir,Other,FC,3939804.0,-6.140236545469228,4.3736741080220884,2.42026594644129
130,130,10/29/2011,Osmaniye,Other,FC,3376145.0,-9.052836347061938,-0.6465681762826296,-0.844350432401402
131,131,11/06/2002,Ankara,Big Cities,FC,3199619.0,-7.756184190352114,1.3889394531223782,0.4142302698361831
132,132,06/25/2008,Trabzon,Other,FC,5787594.0,-8.701340151543192,0.09283883153389787,1.1633968658049512
133,133,10/12/2006,İzmir,Big Cities,FC,9262754.0,-8.277607988216907,0.485268488077501,-0.2962337719079473
134,134,07/08/2006,Kayseri,Other,FC,2544857.0,-8.524078245965502,-0.1205262824128957,-1.2414390638552646
135,135,10/29/2010,İstanbul,Big Cities,FC,7217634.0,-9.07297868001725,-1.0361343004495336,-1.9563187730482434
136,136,09/01/2009,İstanbul,Big Cities,FC,6363241.0,-8.980915937076496,-0.6527137612941265,-0.5181246995118814
